2020-10-13-17:25:30 ---epoch:0,train_query_loss:0,train_query_hr:0.37996688741721857,train_query_ndcg:0.1953697946722127,val_hr:0.11705298013245033,val_ndcg:0.06779096772891093,test_query_hr:0.47516556291390727,test_query_ndcg:0.235511561104304
2020-10-13-17:32:27 ---epoch:0,train_query_loss:111880.78125,train_query_hr:0.3834437086092715,train_query_ndcg:0.19701913993554432,val_hr:0.11721854304635762,val_ndcg:0.06843250031650912,test_query_hr:0.45827814569536424,test_query_ndcg:0.234526984809314
2020-10-13-17:35:13 ---epoch:1,train_query_loss:109007.28125,train_query_hr:0.3836092715231788,train_query_ndcg:0.1963920629332326,val_hr:0.11721854304635762,val_ndcg:0.06824985712572765,test_query_hr:0.45364238410596025,test_query_ndcg:0.23424596563752312
2020-10-13-17:40:07 ---epoch:2,train_query_loss:106449.8515625,train_query_hr:0.3824503311258278,train_query_ndcg:0.1954507960356287,val_hr:0.11721854304635762,val_ndcg:0.0682214284028316,test_query_hr:0.4519867549668874,test_query_ndcg:0.23394649913285434
2020-10-13-17:50:07 ---epoch:3,train_query_loss:104154.65625,train_query_hr:0.38294701986754964,train_query_ndcg:0.19521510190742017,val_hr:0.11688741721854305,val_ndcg:0.06803979684751689,test_query_hr:0.4519867549668874,test_query_ndcg:0.23421591618715476
2020-10-13-18:00:52 ---epoch:4,train_query_loss:102092.53125,train_query_hr:0.38294701986754964,train_query_ndcg:0.19494717812131662,val_hr:0.11655629139072848,val_ndcg:0.06774810664081132,test_query_hr:0.4519867549668874,test_query_ndcg:0.23452928231967093
2020-10-13-18:10:50 ---epoch:5,train_query_loss:100242.078125,train_query_hr:0.38294701986754964,train_query_ndcg:0.1948307467945418,val_hr:0.11655629139072848,val_ndcg:0.06763738981838369,test_query_hr:0.452317880794702,test_query_ndcg:0.23473632831256044
2020-10-13-18:20:22 ---epoch:6,train_query_loss:98577.640625,train_query_hr:0.3832781456953642,train_query_ndcg:0.19487041554963222,val_hr:0.11655629139072848,val_ndcg:0.06757046643105662,test_query_hr:0.452317880794702,test_query_ndcg:0.23499378736885745
2020-10-13-18:30:00 ---epoch:7,train_query_loss:97076.015625,train_query_hr:0.3834437086092715,train_query_ndcg:0.19496282714080662,val_hr:0.1162251655629139,val_ndcg:0.06744094394499597,test_query_hr:0.45264900662251656,test_query_ndcg:0.23508858361063947
2020-10-13-18:39:23 ---epoch:8,train_query_loss:95716.015625,train_query_hr:0.3834437086092715,train_query_ndcg:0.1949591358674106,val_hr:0.11605960264900662,val_ndcg:0.06746623614811993,test_query_hr:0.45264900662251656,test_query_ndcg:0.23502920717793954
2020-10-13-18:49:10 ---epoch:9,train_query_loss:94486.734375,train_query_hr:0.3834437086092715,train_query_ndcg:0.19496260439341456,val_hr:0.11605960264900662,val_ndcg:0.06735789472927743,test_query_hr:0.45264900662251656,test_query_ndcg:0.2350376163607921
2020-10-13-18:58:43 ---epoch:10,train_query_loss:93370.484375,train_query_hr:0.3834437086092715,train_query_ndcg:0.19498125469151373,val_hr:0.11605960264900662,val_ndcg:0.06736296850744407,test_query_hr:0.45264900662251656,test_query_ndcg:0.23503850323327183
2020-10-13-19:07:55 ---epoch:11,train_query_loss:92356.9453125,train_query_hr:0.3834437086092715,train_query_ndcg:0.19489755158786834,val_hr:0.11605960264900662,val_ndcg:0.06729262758581932,test_query_hr:0.45264900662251656,test_query_ndcg:0.23507615710622332
2020-10-13-19:17:17 ---epoch:12,train_query_loss:91436.34375,train_query_hr:0.3832781456953642,train_query_ndcg:0.1949139683209512,val_hr:0.11605960264900662,val_ndcg:0.06722856488665109,test_query_hr:0.45298013245033114,test_query_ndcg:0.23514661459373074
2020-10-13-19:27:33 ---epoch:13,train_query_loss:90596.8046875,train_query_hr:0.3832781456953642,train_query_ndcg:0.1949230558310182,val_hr:0.11605960264900662,val_ndcg:0.06722856488665109,test_query_hr:0.45298013245033114,test_query_ndcg:0.23514069788626463
2020-10-13-19:36:49 ---epoch:14,train_query_loss:89831.2421875,train_query_hr:0.3832781456953642,train_query_ndcg:0.19489718276493842,val_hr:0.11605960264900662,val_ndcg:0.06728727935110586,test_query_hr:0.45331125827814567,test_query_ndcg:0.23523071436608584
2020-10-13-19:45:58 ---epoch:15,train_query_loss:89132.3828125,train_query_hr:0.3832781456953642,train_query_ndcg:0.19489957264591887,val_hr:0.11605960264900662,val_ndcg:0.06728529836280352,test_query_hr:0.45331125827814567,test_query_ndcg:0.23523516157233373
2020-10-13-19:55:14 ---epoch:16,train_query_loss:88492.703125,train_query_hr:0.3834437086092715,train_query_ndcg:0.19497819568245764,val_hr:0.11605960264900662,val_ndcg:0.06729255395069074,test_query_hr:0.45331125827814567,test_query_ndcg:0.23523543044459627
2020-10-13-20:03:59 ---epoch:17,train_query_loss:87907.8671875,train_query_hr:0.3834437086092715,train_query_ndcg:0.19497750141043874,val_hr:0.11589403973509933,val_ndcg:0.0672663726472559,test_query_hr:0.45331125827814567,test_query_ndcg:0.23525453609687577
