2020-10-13-17:33:02 ---epoch:0,train_query_loss:0,train_query_hr:0.3532241849777395,train_query_ndcg:0.17332142636431497,val_hr:0.5565129972712911,val_ndcg:0.4807617726124818,test_query_hr:0.21003157290470723,test_query_ndcg:0.11811935279825464
2020-10-13-17:47:35 ---epoch:0,train_query_loss:108470.7734375,train_query_hr:0.3534037052994399,train_query_ndcg:0.17336390895085646,val_hr:0.5568361338503519,val_ndcg:0.48100152104218796,test_query_hr:0.21017508610792193,test_query_ndcg:0.11816894935241637
2020-10-13-18:02:21 ---epoch:1,train_query_loss:108470.2265625,train_query_hr:0.3534037052994399,train_query_ndcg:0.1733754215282474,val_hr:0.5567284216573316,val_ndcg:0.48098478985798365,test_query_hr:0.21017508610792193,test_query_ndcg:0.11814692325638185
2020-10-13-18:17:13 ---epoch:2,train_query_loss:108469.7578125,train_query_hr:0.3533678012350998,train_query_ndcg:0.17334283430529332,val_hr:0.5567284216573316,val_ndcg:0.4809553225595223,test_query_hr:0.21017508610792193,test_query_ndcg:0.11815311916447342
2020-10-13-18:32:00 ---epoch:3,train_query_loss:108468.0703125,train_query_hr:0.3538345540715209,train_query_ndcg:0.1734754428636276,val_hr:0.5570874623007325,val_ndcg:0.4815331668757766,test_query_hr:0.20988805970149255,test_query_ndcg:0.11802623248226374
2020-10-13-18:46:16 ---epoch:4,train_query_loss:108466.3515625,train_query_hr:0.35343960936378,train_query_ndcg:0.1733584641788556,val_hr:0.5570515582363924,val_ndcg:0.48147054000306866,test_query_hr:0.20988805970149255,test_query_ndcg:0.1179992373216633
2020-10-13-19:00:30 ---epoch:5,train_query_loss:108464.4609375,train_query_hr:0.3537268418785006,train_query_ndcg:0.17347172386807788,val_hr:0.5579491598448945,val_ndcg:0.4823135293905466,test_query_hr:0.20960103329506313,test_query_ndcg:0.11795775161875124
2020-10-13-19:14:36 ---epoch:6,train_query_loss:108463.015625,train_query_hr:0.35354732155680024,train_query_ndcg:0.17335769421717012,val_hr:0.558200488295275,val_ndcg:0.48254954599518074,test_query_hr:0.2093857634902411,test_query_ndcg:0.11795152108598354
2020-10-13-19:28:47 ---epoch:7,train_query_loss:108461.09375,train_query_hr:0.35354732155680024,train_query_ndcg:0.17333985739476052,val_hr:0.5583441045526354,val_ndcg:0.48278988090453123,test_query_hr:0.20974454649827784,test_query_ndcg:0.11799748018716887
2020-10-13-19:43:01 ---epoch:8,train_query_loss:108461.2265625,train_query_hr:0.35347551342812006,train_query_ndcg:0.17331984715540635,val_hr:0.558200488295275,val_ndcg:0.48265462870494524,test_query_hr:0.2098163030998852,test_query_ndcg:0.11803394970444005
2020-10-13-19:57:14 ---epoch:9,train_query_loss:108461.0078125,train_query_hr:0.3535832256211403,train_query_ndcg:0.17334817358094493,val_hr:0.5585595289386759,val_ndcg:0.48295615993400376,test_query_hr:0.20988805970149255,test_query_ndcg:0.11802691549799547
2020-10-13-20:10:44 ---epoch:10,train_query_loss:108459.1484375,train_query_hr:0.3536550337498205,train_query_ndcg:0.1733412162009271,val_hr:0.5587031451960361,val_ndcg:0.48324241832723086,test_query_hr:0.20974454649827784,test_query_ndcg:0.11800669947275022
2020-10-13-20:24:14 ---epoch:11,train_query_loss:108460.1015625,train_query_hr:0.35361912968548037,train_query_ndcg:0.17334603508338717,val_hr:0.5587390492603763,val_ndcg:0.48326998308945746,test_query_hr:0.2098163030998852,test_query_ndcg:0.11805581938687294
2020-10-13-20:37:40 ---epoch:12,train_query_loss:108459.2421875,train_query_hr:0.3535832256211403,train_query_ndcg:0.17332030666043197,val_hr:0.5589903777107569,val_ndcg:0.48349688446022426,test_query_hr:0.2096727898966705,test_query_ndcg:0.11795089858613161
2020-10-13-20:51:17 ---epoch:13,train_query_loss:108459.09375,train_query_hr:0.3537268418785006,train_query_ndcg:0.17334338099444868,val_hr:0.558595433003016,val_ndcg:0.48314631855382956,test_query_hr:0.20960103329506313,test_query_ndcg:0.1179685103633876
2020-10-13-21:04:32 ---epoch:14,train_query_loss:108458.875,train_query_hr:0.3537268418785006,train_query_ndcg:0.173362515434155,val_hr:0.5587749533247164,val_ndcg:0.4833657133225431,test_query_hr:0.20974454649827784,test_query_ndcg:0.11800869607255875
2020-10-13-21:17:38 ---epoch:15,train_query_loss:108458.03125,train_query_hr:0.35361912968548037,train_query_ndcg:0.17332752824597447,val_hr:0.5588467614533965,val_ndcg:0.4833956518268984,test_query_hr:0.20974454649827784,test_query_ndcg:0.11801248857166897
2020-10-13-21:30:27 ---epoch:16,train_query_loss:108458.0859375,train_query_hr:0.3536550337498205,train_query_ndcg:0.17335312012914286,val_hr:0.5589544736464168,val_ndcg:0.4834826191503497,test_query_hr:0.2096727898966705,test_query_ndcg:0.117968885801352
2020-10-13-21:43:20 ---epoch:17,train_query_loss:108456.84375,train_query_hr:0.35354732155680024,train_query_ndcg:0.17330361085454826,val_hr:0.5593494183541577,val_ndcg:0.48392883986458446,test_query_hr:0.20974454649827784,test_query_ndcg:0.11793553206441021
2020-10-13-21:55:42 ---epoch:18,train_query_loss:108455.9140625,train_query_hr:0.3535114174924601,train_query_ndcg:0.17327296672953507,val_hr:0.5590980899037771,val_ndcg:0.48372296440414125,test_query_hr:0.2096727898966705,test_query_ndcg:0.11794037867794667
2020-10-13-22:08:04 ---epoch:19,train_query_loss:108455.125,train_query_hr:0.3535832256211403,train_query_ndcg:0.17331934396195367,val_hr:0.5594571305471779,val_ndcg:0.48412573100376394,test_query_hr:0.20974454649827784,test_query_ndcg:0.1178923003796351
2020-10-13-22:20:34 ---epoch:20,train_query_loss:108453.8671875,train_query_hr:0.35369093781416056,train_query_ndcg:0.17333175549366403,val_hr:0.5597443630618986,val_ndcg:0.4843845137533884,test_query_hr:0.20960103329506313,test_query_ndcg:0.11783145785251527
2020-10-13-22:33:22 ---epoch:21,train_query_loss:108452.7890625,train_query_hr:0.3535832256211403,train_query_ndcg:0.1732785295112705,val_hr:0.5598879793192589,val_ndcg:0.4845331906750839,test_query_hr:0.20960103329506313,test_query_ndcg:0.11784923890037664
2020-10-13-22:45:38 ---epoch:22,train_query_loss:108451.6875,train_query_hr:0.3535832256211403,train_query_ndcg:0.1732605715727685,val_hr:0.5601034037052994,val_ndcg:0.48478057446430184,test_query_hr:0.20974454649827784,test_query_ndcg:0.1179059329002445
2020-10-13-22:57:44 ---epoch:23,train_query_loss:108449.6953125,train_query_hr:0.3537268418785006,train_query_ndcg:0.17325348394230033,val_hr:0.5603188280913399,val_ndcg:0.48512518011131406,test_query_hr:0.2095292766934558,test_query_ndcg:0.11777981522284157
2020-10-13-23:09:51 ---epoch:24,train_query_loss:108448.640625,train_query_hr:0.35361912968548037,train_query_ndcg:0.17325907219800973,val_hr:0.5602470199626598,val_ndcg:0.4850282725593852,test_query_hr:0.20960103329506313,test_query_ndcg:0.11787496553145087
2020-10-13-23:21:48 ---epoch:25,train_query_loss:108448.4921875,train_query_hr:0.35343960936378,train_query_ndcg:0.17314769433270963,val_hr:0.5603188280913399,val_ndcg:0.48506210798034477,test_query_hr:0.2095292766934558,test_query_ndcg:0.11787790187095512
2020-10-13-23:33:36 ---epoch:26,train_query_loss:108448.046875,train_query_hr:0.3537986500071808,train_query_ndcg:0.17331276648527036,val_hr:0.5602111158983197,val_ndcg:0.48507738761324504,test_query_hr:0.20945752009184845,test_query_ndcg:0.11781887120540194
2020-10-13-23:44:37 ---epoch:27,train_query_loss:108448.53125,train_query_hr:0.3538345540715209,train_query_ndcg:0.17324073260319184,val_hr:0.56035473215568,val_ndcg:0.4850446814148794,test_query_hr:0.2095292766934558,test_query_ndcg:0.11784262912215009
2020-10-13-23:54:45 ---epoch:28,train_query_loss:108447.9609375,train_query_hr:0.3537268418785006,train_query_ndcg:0.17320303631628234,val_hr:0.5603188280913399,val_ndcg:0.48497697712779725,test_query_hr:0.2095292766934558,test_query_ndcg:0.11782630403423264
2020-10-14-00:04:50 ---epoch:29,train_query_loss:108447.359375,train_query_hr:0.35361912968548037,train_query_ndcg:0.1731541524882535,val_hr:0.56035473215568,val_ndcg:0.48516050467865823,test_query_hr:0.2095292766934558,test_query_ndcg:0.1178265796044397
2020-10-18-15:49:54 ---epoch:0,train_query_loss:0,train_query_hr:0.3531523768490593,train_query_ndcg:0.17331727438686678,val_hr:0.5566566135286515,val_ndcg:0.48088866632563393,test_query_hr:0.21024684270952929,test_query_ndcg:0.11818808934921052
2020-10-18-15:59:31 ---epoch:0,train_query_loss:108506.28125,train_query_hr:0.3534037052994399,train_query_ndcg:0.1733874828318776,val_hr:0.556907941979032,val_ndcg:0.481112610968293,test_query_hr:0.21017508610792193,test_query_ndcg:0.11816513424485378
2020-10-18-16:08:49 ---epoch:1,train_query_loss:108505.7421875,train_query_hr:0.3535114174924601,train_query_ndcg:0.17341730509991196,val_hr:0.5568361338503519,val_ndcg:0.48110101617241596,test_query_hr:0.21017508610792193,test_query_ndcg:0.11815950877593932
2020-10-18-16:18:11 ---epoch:2,train_query_loss:108505.296875,train_query_hr:0.3535114174924601,train_query_ndcg:0.17337654397212252,val_hr:0.556872037914692,val_ndcg:0.48111387364891145,test_query_hr:0.21017508610792193,test_query_ndcg:0.11814394918488856
2020-10-18-16:27:32 ---epoch:3,train_query_loss:108503.578125,train_query_hr:0.35369093781416056,train_query_ndcg:0.17343256309150587,val_hr:0.557338790751113,val_ndcg:0.4816815527966222,test_query_hr:0.20988805970149255,test_query_ndcg:0.1180513464911985
2020-10-18-16:36:53 ---epoch:4,train_query_loss:108501.890625,train_query_hr:0.35354732155680024,train_query_ndcg:0.17338860042619422,val_hr:0.5571233663650725,val_ndcg:0.48156713957034736,test_query_hr:0.20988805970149255,test_query_ndcg:0.11803349579715629
2020-10-18-16:46:09 ---epoch:5,train_query_loss:108500.03125,train_query_hr:0.3537268418785006,train_query_ndcg:0.1734561252680333,val_hr:0.5580209679735746,val_ndcg:0.4824210332449487,test_query_hr:0.2096727898966705,test_query_ndcg:0.11804345172940123
2020-10-18-16:55:41 ---epoch:6,train_query_loss:108498.5546875,train_query_hr:0.3537268418785006,train_query_ndcg:0.17342591182919717,val_hr:0.558200488295275,val_ndcg:0.4826605318344603,test_query_hr:0.20945752009184845,test_query_ndcg:0.11791504733726438
2020-10-18-17:05:00 ---epoch:7,train_query_loss:108496.6796875,train_query_hr:0.35361912968548037,train_query_ndcg:0.1733828364340533,val_hr:0.5584159126813155,val_ndcg:0.48288579029519124,test_query_hr:0.20974454649827784,test_query_ndcg:0.1180008323561786
2020-10-18-17:14:37 ---epoch:8,train_query_loss:108496.8046875,train_query_hr:0.3537268418785006,train_query_ndcg:0.1734133901889793,val_hr:0.5583800086169755,val_ndcg:0.48277766138452105,test_query_hr:0.20974454649827784,test_query_ndcg:0.11803597767545701
2020-10-18-17:23:56 ---epoch:9,train_query_loss:108496.59375,train_query_hr:0.35376274594284074,train_query_ndcg:0.17340974651647856,val_hr:0.5586672411316961,val_ndcg:0.48310256702123366,test_query_hr:0.20960103329506313,test_query_ndcg:0.11797371218633551
2020-10-18-17:33:17 ---epoch:10,train_query_loss:108494.75,train_query_hr:0.35361912968548037,train_query_ndcg:0.17334782082630196,val_hr:0.5588467614533965,val_ndcg:0.48336733090823336,test_query_hr:0.2096727898966705,test_query_ndcg:0.11801869082054321
2020-10-18-17:42:58 ---epoch:11,train_query_loss:108495.6875,train_query_hr:0.3535832256211403,train_query_ndcg:0.1733463006908265,val_hr:0.5588467614533965,val_ndcg:0.48336964446225883,test_query_hr:0.20974454649827784,test_query_ndcg:0.11802829454442368
2020-10-18-17:52:20 ---epoch:12,train_query_loss:108494.84375,train_query_hr:0.3535832256211403,train_query_ndcg:0.17335647721739159,val_hr:0.5589544736464168,val_ndcg:0.48351363511578616,test_query_hr:0.20960103329506313,test_query_ndcg:0.11797765506921394
2020-10-18-18:01:46 ---epoch:13,train_query_loss:108494.703125,train_query_hr:0.35369093781416056,train_query_ndcg:0.17336318473078138,val_hr:0.558631337067356,val_ndcg:0.48326051958888083,test_query_hr:0.20960103329506313,test_query_ndcg:0.11797335070227798
2020-10-18-18:11:04 ---epoch:14,train_query_loss:108494.46875,train_query_hr:0.3535832256211403,train_query_ndcg:0.17333058527942663,val_hr:0.5588108573890564,val_ndcg:0.4834597806672571,test_query_hr:0.2096727898966705,test_query_ndcg:0.1179654993330688
2020-10-18-18:20:36 ---epoch:15,train_query_loss:108493.6328125,train_query_hr:0.3535114174924601,train_query_ndcg:0.17330918498382158,val_hr:0.5588826655177366,val_ndcg:0.48346035392046416,test_query_hr:0.2096727898966705,test_query_ndcg:0.11796464739936623
2020-10-18-18:29:56 ---epoch:16,train_query_loss:108493.703125,train_query_hr:0.35361912968548037,train_query_ndcg:0.17335658195931716,val_hr:0.559062185839437,val_ndcg:0.48360029994210746,test_query_hr:0.20960103329506313,test_query_ndcg:0.11794322846206626
2020-10-18-18:39:10 ---epoch:17,train_query_loss:108492.4375,train_query_hr:0.35361912968548037,train_query_ndcg:0.1733268293176121,val_hr:0.5593853224184978,val_ndcg:0.4840074549103139,test_query_hr:0.20960103329506313,test_query_ndcg:0.11792234924002325
2020-10-18-18:48:36 ---epoch:18,train_query_loss:108491.546875,train_query_hr:0.3535832256211403,train_query_ndcg:0.17328234791276323,val_hr:0.5591698980324573,val_ndcg:0.4838046241063271,test_query_hr:0.2096727898966705,test_query_ndcg:0.11792565666506938
2020-10-18-18:57:58 ---epoch:19,train_query_loss:108490.7890625,train_query_hr:0.35361912968548037,train_query_ndcg:0.17333028855018867,val_hr:0.5595648427401982,val_ndcg:0.4842429971788962,test_query_hr:0.20960103329506313,test_query_ndcg:0.11788166784971736
2020-10-18-19:07:17 ---epoch:20,train_query_loss:108489.4921875,train_query_hr:0.3536550337498205,train_query_ndcg:0.17332177802978035,val_hr:0.5597084589975585,val_ndcg:0.4844316888995891,test_query_hr:0.20945752009184845,test_query_ndcg:0.11779435616092583
2020-10-18-19:16:39 ---epoch:21,train_query_loss:108488.4140625,train_query_hr:0.3537268418785006,train_query_ndcg:0.17335493299101598,val_hr:0.5599597874479391,val_ndcg:0.4846588883289778,test_query_hr:0.2095292766934558,test_query_ndcg:0.11783227870041614
2020-10-18-19:25:59 ---epoch:22,train_query_loss:108487.328125,train_query_hr:0.35376274594284074,train_query_ndcg:0.17334439276956645,val_hr:0.5600674996409594,val_ndcg:0.484825451419771,test_query_hr:0.2096727898966705,test_query_ndcg:0.11784108680401557
2020-10-18-19:35:19 ---epoch:23,train_query_loss:108485.3515625,train_query_hr:0.35412178658624155,train_query_ndcg:0.17339870654011352,val_hr:0.5604983484130404,val_ndcg:0.4852684592148111,test_query_hr:0.2095292766934558,test_query_ndcg:0.11781703396930973
2020-10-18-19:44:46 ---epoch:24,train_query_loss:108484.328125,train_query_hr:0.3537986500071808,train_query_ndcg:0.17332673405719815,val_hr:0.5602470199626598,val_ndcg:0.485147605039388,test_query_hr:0.2095292766934558,test_query_ndcg:0.11782889947946996
2020-10-18-19:54:09 ---epoch:25,train_query_loss:108484.1875,train_query_hr:0.3536550337498205,train_query_ndcg:0.17323690928190294,val_hr:0.56039063622002,val_ndcg:0.4851509715625444,test_query_hr:0.20945752009184845,test_query_ndcg:0.11784605254407654
2020-10-18-20:03:19 ---epoch:26,train_query_loss:108483.734375,train_query_hr:0.353870458135861,train_query_ndcg:0.17332967340784552,val_hr:0.5603188280913399,val_ndcg:0.48517942057329266,test_query_hr:0.20960103329506313,test_query_ndcg:0.11785433601046087
2020-10-18-20:11:44 ---epoch:27,train_query_loss:108484.2265625,train_query_hr:0.35376274594284074,train_query_ndcg:0.1732430300854025,val_hr:0.5604265402843602,val_ndcg:0.4851709243359997,test_query_hr:0.2096727898966705,test_query_ndcg:0.11787947826844908
2020-10-18-20:20:23 ---epoch:28,train_query_loss:108483.65625,train_query_hr:0.35376274594284074,train_query_ndcg:0.17323379941957323,val_hr:0.5602829240269999,val_ndcg:0.4850722734601526,test_query_hr:0.20974454649827784,test_query_ndcg:0.1178846943307106
2020-10-18-20:28:46 ---epoch:29,train_query_loss:108483.0703125,train_query_hr:0.3536550337498205,train_query_ndcg:0.1731968157458504,val_hr:0.56035473215568,val_ndcg:0.48519938284649927,test_query_hr:0.20960103329506313,test_query_ndcg:0.11785480664801724
