2020-10-13-17:26:39 ---epoch:0,train_query_loss:0,train_query_hr:0.37731788079470197,train_query_ndcg:0.1945759791463599,val_hr:0.11225165562913907,val_ndcg:0.06412204903476461,test_query_hr:0.44470198675496686,test_query_ndcg:0.24019894441009804
2020-10-13-17:34:31 ---epoch:0,train_query_loss:112649.453125,train_query_hr:0.3836092715231788,train_query_ndcg:0.19732822308024867,val_hr:0.11539735099337749,val_ndcg:0.06658120029943018,test_query_hr:0.45264900662251656,test_query_ndcg:0.24368959325997186
2020-10-13-17:49:02 ---epoch:1,train_query_loss:109688.59375,train_query_hr:0.3837748344370861,train_query_ndcg:0.19658737262835882,val_hr:0.11572847682119206,val_ndcg:0.06694411449147934,test_query_hr:0.45264900662251656,test_query_ndcg:0.24308787027031586
2020-10-13-18:05:27 ---epoch:2,train_query_loss:107044.734375,train_query_hr:0.38294701986754964,train_query_ndcg:0.19604826376205958,val_hr:0.11572847682119206,val_ndcg:0.06695816647473218,test_query_hr:0.45331125827814567,test_query_ndcg:0.242902269923522
2020-10-13-18:20:37 ---epoch:3,train_query_loss:104684.2421875,train_query_hr:0.3824503311258278,train_query_ndcg:0.1957922984161018,val_hr:0.11539735099337749,val_ndcg:0.06701617269179337,test_query_hr:0.45331125827814567,test_query_ndcg:0.24197020163742353
2020-10-13-18:35:31 ---epoch:4,train_query_loss:102562.6953125,train_query_hr:0.3824503311258278,train_query_ndcg:0.19561901256855155,val_hr:0.11539735099337749,val_ndcg:0.06702877392069442,test_query_hr:0.45298013245033114,test_query_ndcg:0.24158554699725146
2020-10-13-18:50:54 ---epoch:5,train_query_loss:100659.6875,train_query_hr:0.3824503311258278,train_query_ndcg:0.19543751089819564,val_hr:0.11539735099337749,val_ndcg:0.06707892526850238,test_query_hr:0.45331125827814567,test_query_ndcg:0.24153064578391395
2020-10-13-19:05:32 ---epoch:6,train_query_loss:98948.46875,train_query_hr:0.3824503311258278,train_query_ndcg:0.19520683428456082,val_hr:0.11539735099337749,val_ndcg:0.06707811189499911,test_query_hr:0.45298013245033114,test_query_ndcg:0.2409454659159204
2020-10-13-19:20:43 ---epoch:7,train_query_loss:97401.2578125,train_query_hr:0.3824503311258278,train_query_ndcg:0.1951095613640877,val_hr:0.11556291390728476,val_ndcg:0.06719036687964677,test_query_hr:0.45298013245033114,test_query_ndcg:0.24075944585879
2020-10-13-19:35:26 ---epoch:8,train_query_loss:96008.7734375,train_query_hr:0.3824503311258278,train_query_ndcg:0.1950163487092274,val_hr:0.11556291390728476,val_ndcg:0.06718270239908146,test_query_hr:0.45264900662251656,test_query_ndcg:0.24002663829838594
2020-10-13-19:50:03 ---epoch:9,train_query_loss:94743.40625,train_query_hr:0.3824503311258278,train_query_ndcg:0.1949825700151699,val_hr:0.11556291390728476,val_ndcg:0.06718829553454557,test_query_hr:0.45264900662251656,test_query_ndcg:0.2399380808590374
2020-10-13-20:04:12 ---epoch:10,train_query_loss:93598.8984375,train_query_hr:0.38228476821192053,train_query_ndcg:0.19501669279131859,val_hr:0.11556291390728476,val_ndcg:0.06718829553454557,test_query_hr:0.45298013245033114,test_query_ndcg:0.2393692524552219
2020-10-13-20:18:00 ---epoch:11,train_query_loss:92558.875,train_query_hr:0.3824503311258278,train_query_ndcg:0.19504385146018413,val_hr:0.11556291390728476,val_ndcg:0.06724939987998077,test_query_hr:0.45298013245033114,test_query_ndcg:0.23911824785091604
2020-10-13-20:31:51 ---epoch:12,train_query_loss:91614.8515625,train_query_hr:0.38211920529801324,train_query_ndcg:0.19494080540726175,val_hr:0.11556291390728476,val_ndcg:0.06724561281809754,test_query_hr:0.45298013245033114,test_query_ndcg:0.23887383046917526
2020-10-13-20:45:40 ---epoch:13,train_query_loss:90754.703125,train_query_hr:0.38211920529801324,train_query_ndcg:0.19492623522634997,val_hr:0.11556291390728476,val_ndcg:0.06737507709685514,test_query_hr:0.45298013245033114,test_query_ndcg:0.2388948770541212
2020-10-13-20:57:54 ---epoch:14,train_query_loss:89970.2265625,train_query_hr:0.38211920529801324,train_query_ndcg:0.19492728802277462,val_hr:0.11556291390728476,val_ndcg:0.06743598062087208,test_query_hr:0.45298013245033114,test_query_ndcg:0.2389067629839352
2020-10-13-21:11:14 ---epoch:15,train_query_loss:89254.6171875,train_query_hr:0.38211920529801324,train_query_ndcg:0.19483745179935205,val_hr:0.11556291390728476,val_ndcg:0.06744035149015484,test_query_hr:0.45298013245033114,test_query_ndcg:0.23880302744544396
2020-10-13-21:24:27 ---epoch:16,train_query_loss:88599.65625,train_query_hr:0.38195364238410595,train_query_ndcg:0.19472609915798314,val_hr:0.11556291390728476,val_ndcg:0.06750145583559003,test_query_hr:0.45298013245033114,test_query_ndcg:0.23837725175825908
2020-10-13-21:37:35 ---epoch:17,train_query_loss:88000.5625,train_query_hr:0.38195364238410595,train_query_ndcg:0.19460190947881043,val_hr:0.11556291390728476,val_ndcg:0.06749610760087657,test_query_hr:0.45331125827814567,test_query_ndcg:0.23842565238852406
2020-10-13-21:50:14 ---epoch:18,train_query_loss:87451.5,train_query_hr:0.38195364238410595,train_query_ndcg:0.19456137003448973,val_hr:0.11556291390728476,val_ndcg:0.0674980885891789,test_query_hr:0.45331125827814567,test_query_ndcg:0.23838229816548717
2020-10-13-22:02:29 ---epoch:19,train_query_loss:86948.0703125,train_query_hr:0.38195364238410595,train_query_ndcg:0.19455841168075666,val_hr:0.11556291390728476,val_ndcg:0.0674980885891789,test_query_hr:0.45331125827814567,test_query_ndcg:0.23796217031350586
2020-10-13-22:14:40 ---epoch:20,train_query_loss:86485.328125,train_query_hr:0.38195364238410595,train_query_ndcg:0.19455841168075666,val_hr:0.11572847682119206,val_ndcg:0.06753977006126853,test_query_hr:0.45331125827814567,test_query_ndcg:0.23796217031350586
2020-10-13-22:27:15 ---epoch:21,train_query_loss:86060.4609375,train_query_hr:0.38195364238410595,train_query_ndcg:0.19455333790259002,val_hr:0.11572847682119206,val_ndcg:0.06753738018028813,test_query_hr:0.45331125827814567,test_query_ndcg:0.2378359996460308
2020-10-13-22:38:56 ---epoch:22,train_query_loss:85668.921875,train_query_hr:0.38195364238410595,train_query_ndcg:0.19455333790259002,val_hr:0.11572847682119206,val_ndcg:0.06753738018028813,test_query_hr:0.45331125827814567,test_query_ndcg:0.23746937357341966
2020-10-13-22:50:01 ---epoch:23,train_query_loss:85308.359375,train_query_hr:0.38195364238410595,train_query_ndcg:0.1945509480216096,val_hr:0.11572847682119206,val_ndcg:0.06753499029930769,test_query_hr:0.45331125827814567,test_query_ndcg:0.23742601935038274
2020-10-13-23:01:07 ---epoch:24,train_query_loss:84976.2734375,train_query_hr:0.38195364238410595,train_query_ndcg:0.19448984367617442,val_hr:0.11572847682119206,val_ndcg:0.06753499029930769,test_query_hr:0.45331125827814567,test_query_ndcg:0.23726045643647545
2020-10-13-23:12:10 ---epoch:25,train_query_loss:84669.3671875,train_query_hr:0.38178807947019866,train_query_ndcg:0.19444198526122114,val_hr:0.11572847682119206,val_ndcg:0.06753499029930769,test_query_hr:0.45331125827814567,test_query_ndcg:0.23725649445987082
