2020-10-21-23:14:49 ---epoch:0,train_query_loss:0,val_hr:0.174134712049404,val_ndcg:0.09686476445432914
2020-10-21-23:18:49 ---epoch:0,train_query_loss:102372.828125,val_hr:0.18777825649863564,val_ndcg:0.10148339565656023
2020-10-21-23:22:49 ---epoch:1,train_query_loss:93905.4609375,val_hr:0.18756283211259514,val_ndcg:0.10139018918343853
2020-10-21-23:26:49 ---epoch:2,train_query_loss:89620.09375,val_hr:0.18785006462731582,val_ndcg:0.10137915895436861
2020-10-21-23:30:52 ---epoch:3,train_query_loss:87304.4609375,val_hr:0.18756283211259514,val_ndcg:0.10125213657038232
2020-10-21-23:34:48 ---epoch:4,train_query_loss:85988.2265625,val_hr:0.18756283211259514,val_ndcg:0.10116873672190153
2020-10-21-23:39:09 ---epoch:5,train_query_loss:85213.3984375,val_hr:0.18777825649863564,val_ndcg:0.10119835323848991
2020-10-21-23:43:08 ---epoch:6,train_query_loss:84741.578125,val_hr:0.18770644836995548,val_ndcg:0.10114088715795702
2020-10-21-23:47:08 ---epoch:7,train_query_loss:84447.6953125,val_hr:0.18770644836995548,val_ndcg:0.10114544058892685
2020-10-21-23:51:09 ---epoch:8,train_query_loss:84262.125,val_hr:0.18770644836995548,val_ndcg:0.10113441189745666
2020-10-21-23:55:07 ---epoch:9,train_query_loss:84141.6796875,val_hr:0.18785006462731582,val_ndcg:0.10113336245074223
2020-10-21-23:59:20 ---epoch:10,train_query_loss:84063.03125,val_hr:0.18799368088467613,val_ndcg:0.10118234880021015
2020-10-22-00:03:19 ---epoch:11,train_query_loss:84010.7734375,val_hr:0.18785006462731582,val_ndcg:0.10112081877686642
2020-10-22-00:07:19 ---epoch:12,train_query_loss:83975.4453125,val_hr:0.18785006462731582,val_ndcg:0.10116221575565174
2020-10-22-00:11:37 ---epoch:13,train_query_loss:83951.09375,val_hr:0.18806548901335632,val_ndcg:0.10116941204198843
2020-10-22-00:15:37 ---epoch:14,train_query_loss:83934.0234375,val_hr:0.18813729714203647,val_ndcg:0.10118975055401093
2020-10-22-00:19:38 ---epoch:15,train_query_loss:83921.9609375,val_hr:0.18799368088467613,val_ndcg:0.10114774930742039
2020-10-22-00:23:34 ---epoch:16,train_query_loss:83912.859375,val_hr:0.18785006462731582,val_ndcg:0.10111694649625132
2020-10-22-00:27:35 ---epoch:17,train_query_loss:83906.125,val_hr:0.18785006462731582,val_ndcg:0.10111040026249117
2020-10-22-00:31:34 ---epoch:18,train_query_loss:83900.7109375,val_hr:0.18756283211259514,val_ndcg:0.10104902595129704
2020-10-22-00:35:33 ---epoch:19,train_query_loss:83896.484375,val_hr:0.1874192158552348,val_ndcg:0.10101712454454999
2020-10-22-00:39:35 ---epoch:20,train_query_loss:83892.953125,val_hr:0.1874192158552348,val_ndcg:0.10094366677909783
2020-10-22-00:43:32 ---epoch:21,train_query_loss:83889.90625,val_hr:0.1874192158552348,val_ndcg:0.10094195710744364
2020-10-22-00:47:32 ---epoch:22,train_query_loss:83887.265625,val_hr:0.1872037914691943,val_ndcg:0.10088743956627184
2020-10-22-00:51:28 ---epoch:23,train_query_loss:83884.953125,val_hr:0.1872037914691943,val_ndcg:0.10087394532613858
2020-10-22-00:55:26 ---epoch:24,train_query_loss:83882.6796875,val_hr:0.18734740772655464,val_ndcg:0.10085946465932515
2020-10-22-00:59:25 ---epoch:25,train_query_loss:83880.65625,val_hr:0.1874192158552348,val_ndcg:0.10086890297714925
2020-10-22-01:03:22 ---epoch:26,train_query_loss:83878.875,val_hr:0.1872037914691943,val_ndcg:0.10075998941029528
2020-10-22-01:07:21 ---epoch:27,train_query_loss:83877.2421875,val_hr:0.1872755995978745,val_ndcg:0.10076917451853347
2020-10-22-01:11:20 ---epoch:28,train_query_loss:83875.5625,val_hr:0.1872037914691943,val_ndcg:0.10075733384079473
2020-10-22-01:15:18 ---epoch:29,train_query_loss:83873.9609375,val_hr:0.18713198334051415,val_ndcg:0.10070920365447697
