2020-10-22-21:45:06 ---epoch:0,train_query_loss:0,val_hr:0.23509933774834438,val_ndcg:0.1352351573933109
2020-10-22-21:46:42 ---epoch:0,train_query_loss:116063.890625,val_hr:0.2367549668874172,val_ndcg:0.13682786883745685
2020-10-22-21:49:25 ---epoch:1,train_query_loss:115692.25,val_hr:0.2367549668874172,val_ndcg:0.1370731874673685
2020-10-22-21:51:17 ---epoch:2,train_query_loss:115326.140625,val_hr:0.23609271523178807,val_ndcg:0.1373127383377949
2020-10-22-21:52:25 ---epoch:3,train_query_loss:114964.171875,val_hr:0.23741721854304637,val_ndcg:0.1379889413242385
2020-10-22-21:53:21 ---epoch:4,train_query_loss:114605.90625,val_hr:0.2367549668874172,val_ndcg:0.1377667469393957
2020-10-22-21:55:41 ---epoch:5,train_query_loss:114252.71875,val_hr:0.2367549668874172,val_ndcg:0.13766750971272287
2020-10-22-21:56:48 ---epoch:6,train_query_loss:113903.9765625,val_hr:0.2367549668874172,val_ndcg:0.13783641508384542
2020-10-22-21:57:56 ---epoch:7,train_query_loss:113559.7890625,val_hr:0.23642384105960265,val_ndcg:0.13759051599836003
2020-10-22-21:58:53 ---epoch:8,train_query_loss:113219.203125,val_hr:0.23576158940397351,val_ndcg:0.13729190447656203
2020-10-22-21:59:56 ---epoch:9,train_query_loss:112883.2265625,val_hr:0.23543046357615893,val_ndcg:0.1370728420102798
2020-10-22-22:01:11 ---epoch:10,train_query_loss:112550.9375,val_hr:0.2347682119205298,val_ndcg:0.13671492942029287
2020-10-22-22:02:43 ---epoch:11,train_query_loss:112222.7578125,val_hr:0.2347682119205298,val_ndcg:0.13681968530332603
2020-10-22-22:03:45 ---epoch:12,train_query_loss:111899.1328125,val_hr:0.23410596026490066,val_ndcg:0.1366382761885295
2020-10-22-22:05:06 ---epoch:13,train_query_loss:111579.0390625,val_hr:0.23443708609271524,val_ndcg:0.13663463337207393
2020-10-22-22:06:30 ---epoch:14,train_query_loss:111262.7421875,val_hr:0.23443708609271524,val_ndcg:0.1367291075188886
2020-10-22-22:07:39 ---epoch:15,train_query_loss:110950.640625,val_hr:0.23443708609271524,val_ndcg:0.13673245079378782
2020-10-22-22:08:43 ---epoch:16,train_query_loss:110641.9609375,val_hr:0.23443708609271524,val_ndcg:0.13672487667002137
2020-10-22-22:10:14 ---epoch:17,train_query_loss:110337.515625,val_hr:0.2347682119205298,val_ndcg:0.13669838480905758
2020-10-22-22:11:19 ---epoch:18,train_query_loss:110036.0625,val_hr:0.23443708609271524,val_ndcg:0.13662784718205384
2020-10-22-22:12:37 ---epoch:19,train_query_loss:109738.734375,val_hr:0.23443708609271524,val_ndcg:0.13662749735261095
2020-10-22-22:14:15 ---epoch:20,train_query_loss:109444.7109375,val_hr:0.23410596026490066,val_ndcg:0.1366218212614661
2020-10-22-22:15:16 ---epoch:21,train_query_loss:109154.3046875,val_hr:0.23410596026490066,val_ndcg:0.13661050609033373
2020-10-22-22:16:06 ---epoch:22,train_query_loss:108867.234375,val_hr:0.23410596026490066,val_ndcg:0.13660176435176824
2020-10-22-22:17:19 ---epoch:23,train_query_loss:108583.671875,val_hr:0.23443708609271524,val_ndcg:0.13667452639957992
2020-10-22-22:18:22 ---epoch:24,train_query_loss:108303.9140625,val_hr:0.23443708609271524,val_ndcg:0.13657090887136328
2020-10-22-22:19:21 ---epoch:25,train_query_loss:108026.9765625,val_hr:0.23443708609271524,val_ndcg:0.13658979816626207
2020-10-22-22:20:18 ---epoch:26,train_query_loss:107753.359375,val_hr:0.23443708609271524,val_ndcg:0.13653002457030175
2020-10-22-22:21:21 ---epoch:27,train_query_loss:107483.0390625,val_hr:0.23443708609271524,val_ndcg:0.1365252448083409
2020-10-22-22:22:34 ---epoch:28,train_query_loss:107216.09375,val_hr:0.23443708609271524,val_ndcg:0.1365939517198411
2020-10-22-22:23:36 ---epoch:29,train_query_loss:106951.9609375,val_hr:0.23410596026490066,val_ndcg:0.13637602619906414
