2020-10-22-21:45:00 ---epoch:0,train_query_loss:0,val_hr:0.23410596026490066,val_ndcg:0.13282338449725
2020-10-22-21:45:59 ---epoch:0,train_query_loss:123010.265625,val_hr:0.2314569536423841,val_ndcg:0.13178032299610845
2020-10-22-21:47:17 ---epoch:1,train_query_loss:122896.3125,val_hr:0.23211920529801325,val_ndcg:0.13187272800089517
2020-10-22-21:49:23 ---epoch:2,train_query_loss:122878.171875,val_hr:0.23211920529801325,val_ndcg:0.1318063591036854
2020-10-22-21:51:11 ---epoch:3,train_query_loss:122840.140625,val_hr:0.23211920529801325,val_ndcg:0.1318443241992539
2020-10-22-21:52:13 ---epoch:4,train_query_loss:122798.4609375,val_hr:0.23112582781456953,val_ndcg:0.1320080658889214
2020-10-22-21:53:14 ---epoch:5,train_query_loss:122696.765625,val_hr:0.23079470198675497,val_ndcg:0.13185154202814067
2020-10-22-21:55:36 ---epoch:6,train_query_loss:122668.4375,val_hr:0.23112582781456953,val_ndcg:0.13166535742702323
2020-10-22-21:56:39 ---epoch:7,train_query_loss:122702.5234375,val_hr:0.23112582781456953,val_ndcg:0.13212828295660767
2020-10-22-21:57:49 ---epoch:8,train_query_loss:122663.15625,val_hr:0.23079470198675497,val_ndcg:0.13137211006329116
2020-10-22-21:58:39 ---epoch:9,train_query_loss:122535.8359375,val_hr:0.2304635761589404,val_ndcg:0.13104875521589857
2020-10-22-21:59:39 ---epoch:10,train_query_loss:122543.53125,val_hr:0.2304635761589404,val_ndcg:0.13106896956038094
2020-10-22-22:01:06 ---epoch:11,train_query_loss:122478.078125,val_hr:0.2294701986754967,val_ndcg:0.1308484064021209
2020-10-22-22:02:38 ---epoch:12,train_query_loss:122530.8046875,val_hr:0.22980132450331126,val_ndcg:0.13084252911916472
2020-10-22-22:03:41 ---epoch:13,train_query_loss:122533.6015625,val_hr:0.2294701986754967,val_ndcg:0.13065561632458106
2020-10-22-22:04:59 ---epoch:14,train_query_loss:122389.859375,val_hr:0.2281456953642384,val_ndcg:0.13027400673478134
2020-10-22-22:06:12 ---epoch:15,train_query_loss:122394.828125,val_hr:0.2281456953642384,val_ndcg:0.1302339563621338
2020-10-22-22:07:33 ---epoch:16,train_query_loss:122148.890625,val_hr:0.226158940397351,val_ndcg:0.12890632033053825
2020-10-22-22:08:30 ---epoch:17,train_query_loss:122128.921875,val_hr:0.22549668874172185,val_ndcg:0.12897067319549735
2020-10-22-22:10:04 ---epoch:18,train_query_loss:121981.8203125,val_hr:0.22350993377483444,val_ndcg:0.12759699514664727
2020-10-22-22:10:59 ---epoch:19,train_query_loss:121833.296875,val_hr:0.2208609271523179,val_ndcg:0.12599444946200544
2020-10-22-22:11:52 ---epoch:20,train_query_loss:121671.015625,val_hr:0.21986754966887417,val_ndcg:0.1253605099980288
2020-10-22-22:12:34 ---epoch:21,train_query_loss:121545.1953125,val_hr:0.2195364238410596,val_ndcg:0.1254398090506805
2020-10-22-22:13:57 ---epoch:22,train_query_loss:121455.0,val_hr:0.2205298013245033,val_ndcg:0.12564992885457948
2020-10-22-22:14:42 ---epoch:23,train_query_loss:121415.34375,val_hr:0.21688741721854304,val_ndcg:0.12415354508364869
2020-10-22-22:15:32 ---epoch:24,train_query_loss:121185.515625,val_hr:0.2139072847682119,val_ndcg:0.12303984025985351
2020-10-22-22:16:07 ---epoch:25,train_query_loss:120936.78125,val_hr:0.21357615894039736,val_ndcg:0.12300478459987516
2020-10-22-22:17:00 ---epoch:26,train_query_loss:120875.46875,val_hr:0.21291390728476822,val_ndcg:0.12270796674048648
2020-10-22-22:17:46 ---epoch:27,train_query_loss:120836.2734375,val_hr:0.21258278145695364,val_ndcg:0.12271738903984368
2020-10-22-22:18:31 ---epoch:28,train_query_loss:120596.65625,val_hr:0.20927152317880796,val_ndcg:0.1212689745910888
2020-10-22-22:19:09 ---epoch:29,train_query_loss:120475.328125,val_hr:0.21026490066225165,val_ndcg:0.12134158418124405
