2020-10-21-23:14:53 ---epoch:0,train_query_loss:0,val_hr:0.17786873474077267,val_ndcg:0.09786461597059094
2020-10-21-23:24:33 ---epoch:0,train_query_loss:108471.40625,val_hr:0.17829958351285366,val_ndcg:0.09800586083719735
2020-10-21-23:34:13 ---epoch:1,train_query_loss:108420.8203125,val_hr:0.17873043228493465,val_ndcg:0.09820292694290261
2020-10-21-23:44:22 ---epoch:2,train_query_loss:108345.0859375,val_hr:0.1788022404136148,val_ndcg:0.0982739111641749
2020-10-21-23:54:11 ---epoch:3,train_query_loss:108215.625,val_hr:0.18038201924457847,val_ndcg:0.09899731137724904
2020-10-22-00:03:58 ---epoch:4,train_query_loss:107973.34375,val_hr:0.18160275743214133,val_ndcg:0.0994481568805526
2020-10-22-00:13:45 ---epoch:5,train_query_loss:107508.171875,val_hr:0.18332615252046533,val_ndcg:0.1000830281807519
2020-10-22-00:23:22 ---epoch:6,train_query_loss:106632.1640625,val_hr:0.184905931351429,val_ndcg:0.10048662605875251
2020-10-22-00:32:57 ---epoch:7,train_query_loss:105099.8515625,val_hr:0.18670113456843315,val_ndcg:0.10121962469453714
2020-10-22-00:42:25 ---epoch:8,train_query_loss:102719.453125,val_hr:0.18634209392503231,val_ndcg:0.10122544885252115
2020-10-22-00:51:43 ---epoch:9,train_query_loss:99697.9765625,val_hr:0.18734740772655464,val_ndcg:0.10133991057276653
2020-10-22-01:01:03 ---epoch:10,train_query_loss:96746.828125,val_hr:0.18756283211259514,val_ndcg:0.10123106969976219
2020-10-22-01:10:22 ---epoch:11,train_query_loss:94443.5703125,val_hr:0.18749102398391498,val_ndcg:0.10116814332678961
2020-10-22-01:19:25 ---epoch:12,train_query_loss:92937.0859375,val_hr:0.18734740772655464,val_ndcg:0.10099233230675951
2020-10-22-01:28:27 ---epoch:13,train_query_loss:92029.84375,val_hr:0.1872037914691943,val_ndcg:0.1008633075789363
2020-10-22-01:37:41 ---epoch:14,train_query_loss:91506.9375,val_hr:0.18749102398391498,val_ndcg:0.10093473896758925
2020-10-22-01:47:49 ---epoch:15,train_query_loss:91215.8125,val_hr:0.1872755995978745,val_ndcg:0.10084013601242488
2020-10-22-01:58:24 ---epoch:16,train_query_loss:91062.3984375,val_hr:0.18749102398391498,val_ndcg:0.10091264688201469
2020-10-22-02:08:52 ---epoch:17,train_query_loss:90975.859375,val_hr:0.18749102398391498,val_ndcg:0.10092499695635661
2020-10-22-02:19:01 ---epoch:18,train_query_loss:90925.1875,val_hr:0.18734740772655464,val_ndcg:0.10083657948229413
2020-10-22-02:29:23 ---epoch:19,train_query_loss:90888.3203125,val_hr:0.18713198334051415,val_ndcg:0.10077185658850049
2020-10-22-02:40:03 ---epoch:20,train_query_loss:90862.4453125,val_hr:0.1872037914691943,val_ndcg:0.10071473501602077
2020-10-22-02:50:14 ---epoch:21,train_query_loss:90837.9296875,val_hr:0.18749102398391498,val_ndcg:0.10080839313865299
2020-10-22-03:00:23 ---epoch:22,train_query_loss:90817.921875,val_hr:0.1874192158552348,val_ndcg:0.10076711011397853
2020-10-22-03:10:58 ---epoch:23,train_query_loss:90797.328125,val_hr:0.1872037914691943,val_ndcg:0.10069013905184926
2020-10-22-03:21:06 ---epoch:24,train_query_loss:90777.4921875,val_hr:0.18691655895447365,val_ndcg:0.10056415813355797
2020-10-22-03:31:16 ---epoch:25,train_query_loss:90757.921875,val_hr:0.18670113456843315,val_ndcg:0.10048604609046012
2020-10-22-03:41:50 ---epoch:26,train_query_loss:90740.0703125,val_hr:0.1867729426971133,val_ndcg:0.100530387551806
2020-10-22-03:52:15 ---epoch:27,train_query_loss:90719.8984375,val_hr:0.18670113456843315,val_ndcg:0.10050347268074594
2020-10-22-04:02:27 ---epoch:28,train_query_loss:90698.1953125,val_hr:0.187060175211834,val_ndcg:0.10065430886747462
2020-10-22-04:12:55 ---epoch:29,train_query_loss:90675.9140625,val_hr:0.18713198334051415,val_ndcg:0.10066082314891077
