2020-10-22-21:45:07 ---epoch:0,train_query_loss:0,val_hr:0.2314569536423841,val_ndcg:0.13361318230857963
2020-10-22-21:47:47 ---epoch:0,train_query_loss:113655.8515625,val_hr:0.23178807947019867,val_ndcg:0.13447901292072087
2020-10-22-21:50:42 ---epoch:1,train_query_loss:96697.5546875,val_hr:0.22880794701986754,val_ndcg:0.1335080941263522
2020-10-22-21:53:18 ---epoch:2,train_query_loss:91543.953125,val_hr:0.22682119205298013,val_ndcg:0.13267926732815657
2020-10-22-21:57:17 ---epoch:3,train_query_loss:90619.046875,val_hr:0.2251655629139073,val_ndcg:0.13190482066329706
2020-10-22-21:59:51 ---epoch:4,train_query_loss:90419.25,val_hr:0.22251655629139072,val_ndcg:0.13103125573837449
2020-10-22-22:02:37 ---epoch:5,train_query_loss:90223.953125,val_hr:0.223841059602649,val_ndcg:0.1312124646388481
2020-10-22-22:05:09 ---epoch:6,train_query_loss:90009.8828125,val_hr:0.22218543046357617,val_ndcg:0.13058192778165054
2020-10-22-22:07:57 ---epoch:7,train_query_loss:89796.15625,val_hr:0.22185430463576158,val_ndcg:0.13003959783550936
2020-10-22-22:10:29 ---epoch:8,train_query_loss:89464.140625,val_hr:0.22119205298013245,val_ndcg:0.12958752568699883
2020-10-22-22:12:55 ---epoch:9,train_query_loss:89011.984375,val_hr:0.2208609271523179,val_ndcg:0.12931787353478752
2020-10-22-22:15:34 ---epoch:10,train_query_loss:88353.296875,val_hr:0.2205298013245033,val_ndcg:0.12925973703671836
2020-10-22-22:18:37 ---epoch:11,train_query_loss:87583.2890625,val_hr:0.2205298013245033,val_ndcg:0.1291485503857773
2020-10-22-22:20:42 ---epoch:12,train_query_loss:86725.7265625,val_hr:0.21986754966887417,val_ndcg:0.12945479655224534
2020-10-22-22:23:48 ---epoch:13,train_query_loss:86000.15625,val_hr:0.2208609271523179,val_ndcg:0.1298044189035341
2020-10-22-22:25:57 ---epoch:14,train_query_loss:85442.6328125,val_hr:0.22251655629139072,val_ndcg:0.1304970257088317
2020-10-22-22:28:22 ---epoch:15,train_query_loss:85097.671875,val_hr:0.22350993377483444,val_ndcg:0.13060655234376264
2020-10-22-22:30:18 ---epoch:16,train_query_loss:84885.765625,val_hr:0.22417218543046358,val_ndcg:0.13081854146999108
2020-10-22-22:32:09 ---epoch:17,train_query_loss:84685.359375,val_hr:0.22417218543046358,val_ndcg:0.1307268912313999
2020-10-22-22:34:00 ---epoch:18,train_query_loss:84574.1796875,val_hr:0.22417218543046358,val_ndcg:0.13065662302371023
2020-10-22-22:36:10 ---epoch:19,train_query_loss:84464.3515625,val_hr:0.223841059602649,val_ndcg:0.130726208443613
2020-10-22-22:38:00 ---epoch:20,train_query_loss:84350.0,val_hr:0.22417218543046358,val_ndcg:0.13082004087832141
2020-10-22-22:40:30 ---epoch:21,train_query_loss:84261.9375,val_hr:0.223841059602649,val_ndcg:0.13090334133208764
2020-10-22-22:42:21 ---epoch:22,train_query_loss:84160.9609375,val_hr:0.22483443708609271,val_ndcg:0.13126495953413517
2020-10-22-22:44:12 ---epoch:23,train_query_loss:84063.03125,val_hr:0.22450331125827813,val_ndcg:0.13118848237562175
2020-10-22-22:46:00 ---epoch:24,train_query_loss:83977.40625,val_hr:0.223841059602649,val_ndcg:0.13105562257065864
2020-10-22-22:48:08 ---epoch:25,train_query_loss:83878.8984375,val_hr:0.226158940397351,val_ndcg:0.13164288594908957
2020-10-22-22:49:59 ---epoch:26,train_query_loss:83778.7265625,val_hr:0.22582781456953643,val_ndcg:0.1314093435233782
2020-10-22-22:51:52 ---epoch:27,train_query_loss:83697.78125,val_hr:0.2251655629139073,val_ndcg:0.1312231131139504
2020-10-22-22:53:42 ---epoch:28,train_query_loss:83619.0625,val_hr:0.22450331125827813,val_ndcg:0.13097218430333954
2020-10-22-22:55:33 ---epoch:29,train_query_loss:83504.3515625,val_hr:0.223841059602649,val_ndcg:0.1306395544268469
