2020-10-21-23:14:56 ---epoch:0,train_query_loss:0,val_hr:0.16867729426971134,val_ndcg:0.09320771719693134
2020-10-21-23:19:43 ---epoch:0,train_query_loss:108179.7421875,val_hr:0.17535545023696683,val_ndcg:0.09619378232040793
2020-10-21-23:24:25 ---epoch:1,train_query_loss:107154.484375,val_hr:0.18131552491742065,val_ndcg:0.09866836158549501
2020-10-21-23:29:06 ---epoch:2,train_query_loss:106269.7578125,val_hr:0.18303892000574465,val_ndcg:0.09944793889430098
2020-10-21-23:33:48 ---epoch:3,train_query_loss:105444.5234375,val_hr:0.1833979606491455,val_ndcg:0.09976526692477317
2020-10-21-23:38:27 ---epoch:4,train_query_loss:104683.859375,val_hr:0.18425965819330747,val_ndcg:0.10031915251597646
2020-10-21-23:43:09 ---epoch:5,train_query_loss:103860.0,val_hr:0.18562401263823064,val_ndcg:0.1006491510227989
2020-10-21-23:47:53 ---epoch:6,train_query_loss:103077.515625,val_hr:0.18648571018239266,val_ndcg:0.10098138949450407
2020-10-21-23:52:36 ---epoch:7,train_query_loss:102298.15625,val_hr:0.1869883670831538,val_ndcg:0.10124122206656695
2020-10-21-23:57:25 ---epoch:8,train_query_loss:101483.1484375,val_hr:0.18641390205371247,val_ndcg:0.10097558168788623
2020-10-22-00:02:09 ---epoch:9,train_query_loss:100812.953125,val_hr:0.18648571018239266,val_ndcg:0.10106810992199869
2020-10-22-00:06:57 ---epoch:10,train_query_loss:100141.5625,val_hr:0.18662932643975297,val_ndcg:0.10105706912258605
2020-10-22-00:11:48 ---epoch:11,train_query_loss:99467.7265625,val_hr:0.18641390205371247,val_ndcg:0.10085488645461523
2020-10-22-00:16:30 ---epoch:12,train_query_loss:98839.671875,val_hr:0.18634209392503231,val_ndcg:0.10082222097645756
2020-10-22-00:21:13 ---epoch:13,train_query_loss:98166.5859375,val_hr:0.18670113456843315,val_ndcg:0.10097094655309007
2020-10-22-00:25:57 ---epoch:14,train_query_loss:97529.640625,val_hr:0.18691655895447365,val_ndcg:0.10115492864303013
2020-10-22-00:30:41 ---epoch:15,train_query_loss:96887.65625,val_hr:0.1869883670831538,val_ndcg:0.10102760960127154
2020-10-22-00:35:21 ---epoch:16,train_query_loss:96399.796875,val_hr:0.187060175211834,val_ndcg:0.10109529982004972
2020-10-22-00:40:02 ---epoch:17,train_query_loss:95974.90625,val_hr:0.18756283211259514,val_ndcg:0.10122209622940116
2020-10-22-00:44:56 ---epoch:18,train_query_loss:95564.8125,val_hr:0.1872755995978745,val_ndcg:0.10121202710025158
2020-10-22-00:49:38 ---epoch:19,train_query_loss:95136.1640625,val_hr:0.18777825649863564,val_ndcg:0.1012947114564428
2020-10-22-00:54:20 ---epoch:20,train_query_loss:94801.7734375,val_hr:0.18785006462731582,val_ndcg:0.10130684827364964
2020-10-22-00:59:01 ---epoch:21,train_query_loss:94426.046875,val_hr:0.18734740772655464,val_ndcg:0.10124713828554174
2020-10-22-01:03:41 ---epoch:22,train_query_loss:94084.1484375,val_hr:0.18734740772655464,val_ndcg:0.10131027107439503
2020-10-22-01:08:23 ---epoch:23,train_query_loss:93704.2734375,val_hr:0.1872755995978745,val_ndcg:0.10126996789162496
2020-10-22-01:13:06 ---epoch:24,train_query_loss:93371.46875,val_hr:0.18734740772655464,val_ndcg:0.10133082134128013
2020-10-22-01:17:34 ---epoch:25,train_query_loss:92982.6171875,val_hr:0.1872755995978745,val_ndcg:0.10123928720377026
2020-10-22-01:21:57 ---epoch:26,train_query_loss:92665.6953125,val_hr:0.18749102398391498,val_ndcg:0.10124741584136199
2020-10-22-01:26:23 ---epoch:27,train_query_loss:92344.546875,val_hr:0.1872755995978745,val_ndcg:0.10110348098106606
2020-10-22-01:30:30 ---epoch:28,train_query_loss:91973.375,val_hr:0.18734740772655464,val_ndcg:0.10115712209599671
2020-10-22-01:34:49 ---epoch:29,train_query_loss:91710.640625,val_hr:0.187060175211834,val_ndcg:0.10107245947732513
